PersonID,MovieID,Rating
PER_1,MOV_1,5
PER_1,MOV_2,5
PER_1,MOV_3,1
PER_1,MOV_4,3
PER_1,MOV_5,4
PER_1,MOV_6,4
PER_2,MOV_1,5
PER_2,MOV_2,5
PER_2,MOV_3,3
PER_2,MOV_4,4
PER_2,MOV_5,5
PER_2,MOV_6,
PER_3,MOV_1,
PER_3,MOV_2,4
PER_3,MOV_3,5
PER_3,MOV_4,
PER_3,MOV_5,4
PER_3,MOV_6,
PER_4,MOV_1,
PER_4,MOV_2,
PER_4,MOV_3,
PER_4,MOV_4,3
PER_4,MOV_5,
PER_4,MOV_6,
PER_5,MOV_1,4
PER_5,MOV_2,
PER_5,MOV_3,3.5
PER_5,MOV_4,2
PER_5,MOV_5,4
PER_5,MOV_6,
PER_6,MOV_1,5
PER_6,MOV_2,
PER_6,MOV_3,
PER_6,MOV_4,1
PER_6,MOV_5,1
PER_6,MOV_6,
PER_7,MOV_1,3.5
PER_7,MOV_2,
PER_7,MOV_3,
PER_7,MOV_4,
PER_7,MOV_5,4.5
PER_7,MOV_6,
PER_8,MOV_1,4
PER_8,MOV_2,5
PER_8,MOV_3,
PER_8,MOV_4,2
PER_8,MOV_5,3
PER_8,MOV_6,4
PER_9,MOV_1,
PER_9,MOV_2,5
PER_9,MOV_3,
PER_9,MOV_4,4
PER_9,MOV_5,
PER_9,MOV_6,
PER_10,MOV_1,4
PER_10,MOV_2,4
PER_10,MOV_3,5
PER_10,MOV_4,3
PER_10,MOV_5,5
PER_10,MOV_6,3
